imgIdx,id.x,duration.x,behavior.x,subject.x,time.x,id.y,duration.y,behavior.y,subject.y,time.y
3109,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.633333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.633333333333
3110,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.666666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.666666666667
3111,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.7,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.7
3112,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.733333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.733333333333
3113,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.766666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.766666666667
3114,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.8,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.8
3115,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.833333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.833333333333
3116,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.866666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.866666666667
3117,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.9,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.9
3118,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.933333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.933333333333
3119,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.966666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.966666666667
3120,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104
3121,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.033333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.033333333333
3122,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.066666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.066666666667
3123,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.1,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.1
3124,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.133333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.133333333333
3125,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.166666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.166666666667
3126,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.2,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.2
3127,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.233333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.233333333333
3128,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.266666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.266666666667
3129,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.3,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.3
3130,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.333333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.333333333333
3131,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.366666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.366666666667
3132,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.4,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.4
3133,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.433333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.433333333333
3134,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.466666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.466666666667
3135,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,104.5,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.5
3136,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,1,S1,104.533333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.533333333333
3137,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,1,S1,104.566666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.566666666667
3138,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,1,S1,104.6,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,104.6
